city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,27,-87,56,62
3,89,10,111,29
4,-3,78,68,18
5,120,147,141,65
6,57,-38,42,35
7,-12,-35,10,55
8,58,-83,30,59
9,-147,-122,132,13
10,2,90,26,2
11,-50,-83,121,61
12,-150,94,148,73
13,-65,-131,15,66
14,-90,2,44,35
15,11,-44,62,69
16,-139,124,57,17
17,-120,0,145,23
18,135,-16,115,48
19,-74,57,18,16
20,-86,-2,20,40
21,-59,-117,69,28
22,136,-135,145,71
23,21,127,126,3
24,135,88,131,9
25,75,-110,30,64
26,56,106,75,55
27,66,-150,99,73
28,-97,72,56,35
29,-117,32,136,27
30,12,-101,27,27
31,-5,-49,85,66
32,-139,-136,107,25
33,18,-8,117,22
34,21,-48,116,64
35,57,10,28,4
36,134,14,20,41
37,140,36,35,42
38,-113,-31,32,73
39,-68,114,61,9
40,-123,-3,87,25
41,-9,68,4,32
42,-146,88,142,59
43,121,122,31,54
44,-127,44,118,45
45,43,-25,67,13
46,22,58,39,71
47,139,50,53,57
48,-112,-57,85,1
49,103,34,140,63
50,139,150,16,19
51,85,-76,119,50
52,79,-108,51,33
53,6,-107,17,43
54,-122,18,134,50
55,70,-136,60,18
56,-71,-24,65,63
57,-99,-129,89,8
58,-43,-104,22,15
59,-123,69,89,41
60,140,22,43,34
61,-141,25,83,60
62,97,133,92,25
63,-115,50,39,62
64,-127,123,27,49
65,46,-15,1,21
66,145,124,105,19
67,-23,-121,97,24
68,53,73,122,21
69,145,-29,82,22
70,-129,-8,142,8
71,115,40,71,2
72,34,54,82,61
73,-103,-9,101,64
74,53,-123,1,5
75,-144,34,67,41
76,-24,98,23,47
77,59,-143,68,33
78,-31,-2,25,2
79,-142,89,129,2
80,-10,-88,110,48
81,-26,9,49,30
82,-16,-40,62,37
83,-70,111,109,39
84,148,57,132,18
85,-57,-17,39,45
86,91,103,95,32
87,44,-40,89,4
88,-41,-67,112,29
89,102,-146,21,57
90,82,66,65,31
91,10,52,24,47
92,96,78,96,4
93,-150,149,45,11
94,53,73,82,49
95,111,-31,33,17
96,81,70,74,60
97,109,-104,73,16
98,7,13,34,75
99,-105,-126,103,44
100,-118,-5,34,28
101,123,70,124,52
102,-9,-108,49,35
103,-112,132,150,58
104,-2,133,110,74
105,-11,-10,5,7
106,53,-45,138,51
107,-115,58,4,25
108,-118,-15,97,30
109,-131,75,56,20
110,69,68,89,66
111,-99,55,19,56
112,145,85,127,63
113,18,-133,9,66
114,65,51,15,15
115,-43,-127,122,42
116,-139,28,89,4
117,71,-37,120,65
118,-147,-50,131,61
119,-104,-30,38,9
120,-24,-108,137,63
121,-67,25,111,10
122,104,-95,47,19
123,109,-63,133,14
124,123,95,146,41
125,33,-47,102,4
126,2,1,59,40
127,103,142,66,12
128,67,-44,8,26
129,90,45,66,25
130,114,26,27,43
131,113,-114,104,75
132,136,91,21,9
133,88,69,113,62
134,52,103,15,62
135,79,110,26,24
136,57,117,24,7
137,148,-148,25,51
138,-149,-6,17,27
139,24,-97,84,15
140,-35,54,72,67
141,-23,16,72,9
142,-145,103,20,54
143,129,-105,134,26
144,121,65,73,59
145,107,46,93,47
146,-70,-74,5,54
147,-140,-110,86,13
148,-114,8,37,28
149,61,61,59,23
150,-113,-99,98,69
