city,xcoord,ycoord,profit,weight
1,0,0,0,0
2,-4,2,28,5
3,-30,-35,40,5
4,32,17,30,1
5,-1,-40,2,18
6,15,-1,12,19
7,-35,38,3,13
8,18,4,37,17
9,24,-3,14,7
10,39,25,16,19
11,-35,-41,18,1
12,37,-14,35,20
13,30,-14,37,1
14,-10,-31,24,11
15,-30,4,35,14
16,-22,-17,10,14
17,17,25,9,13
18,10,-8,37,11
19,5,-39,37,7
20,4,-31,8,9
21,14,-4,5,20
22,-39,34,36,21
23,-3,38,24,21
24,-36,13,9,11
25,20,29,14,6
26,22,-25,4,15
27,7,-19,1,8
28,24,13,17,13
29,23,9,7,4
30,24,30,36,8
31,-32,29,1,12
32,20,30,28,11
33,-27,25,23,15
34,9,-39,38,12
35,-22,29,12,6
36,-5,-35,14,16
37,40,17,14,14
38,-27,-4,20,21
39,-26,-10,33,19
40,-18,15,36,13
41,41,-26,4,2
42,42,28,28,12
