num,v,value,solution_path,time
250,1,5950.773092103155,"Any[(1, 64), (1, 139), (2, 173), (2, 188), (3, 30), (3, 229), (4, 76), (4, 78), (5, 142), (5, 195), (6, 42), (6, 51), (7, 28), (7, 236), (8, 94), (8, 250), (9, 117), (9, 169), (10, 205), (10, 238), (11, 51), (11, 132), (12, 43), (12, 194), (13, 27), (13, 156), (14, 72), (14, 164), (15, 58), (15, 210), (16, 55), (16, 97), (17, 137), (17, 165), (18, 35), (18, 182), (19, 47), (19, 126), (20, 40), (20, 100), (21, 133), (21, 235), (22, 174), (22, 218), (23, 227), (23, 249), (24, 193), (24, 203), (25, 26), (25, 54), (26, 218), (27, 104), (28, 129), (29, 60), (29, 75), (30, 38), (31, 75), (31, 150), (32, 123), (32, 144), (33, 82), (33, 228), (34, 89), (34, 109), (35, 154), (36, 135), (36, 136), (37, 112), (37, 158), (38, 123), (39, 142), (39, 197), (40, 90), (41, 163), (41, 175), (42, 206), (43, 95), (44, 54), (44, 184), (45, 102), (45, 103), (46, 67), (46, 146), (47, 169), (48, 144), (48, 228), (49, 50), (49, 153), (50, 64), (52, 55), (52, 229), (53, 137), (53, 201), (56, 157), (56, 230), (57, 143), (57, 180), (58, 134), (59, 145), (59, 167), (60, 160), (61, 99), (61, 199), (62, 94), (62, 130), (63, 92), (63, 163), (65, 115), (65, 119), (66, 82), (66, 83), (67, 183), (68, 108), (68, 202), (69, 90), (69, 215), (70, 197), (70, 231), (71, 105), (71, 191), (72, 247), (73, 127), (73, 245), (74, 96), (74, 101), (76, 131), (77, 87), (77, 191), (78, 106), (79, 172), (79, 234), (80, 132), (80, 214), (81, 213), (81, 217), (83, 88), (84, 198), (84, 249), (85, 161), (85, 188), (86, 159), (86, 179), (87, 243), (88, 157), (89, 223), (91, 118), (91, 233), (92, 205), (93, 104), (93, 221), (95, 162), (96, 232), (97, 159), (98, 232), (98, 245), (99, 164), (100, 250), (101, 216), (102, 166), (103, 130), (105, 204), (106, 174), (107, 192), (107, 248), (108, 113), (109, 173), (110, 125), (110, 200), (111, 209), (111, 239), (112, 149), (113, 187), (114, 124), (114, 211), (115, 240), (116, 152), (116, 211), (117, 225), (118, 193), (119, 167), (120, 122), (120, 231), (121, 134), (121, 168), (122, 154), (124, 226), (125, 195), (126, 178), (127, 233), (128, 190), (128, 235), (129, 242), (131, 196), (133, 196), (135, 187), (136, 248), (138, 153), (138, 222), (139, 220), (140, 179), (140, 240), (141, 176), (141, 219), (143, 236), (145, 147), (146, 246), (147, 161), (148, 178), (148, 181), (149, 226), (150, 192), (151, 170), (151, 177), (152, 186), (155, 172), (155, 208), (156, 239), (158, 198), (160, 203), (162, 189), (165, 247), (166, 184), (168, 241), (170, 182), (171, 216), (171, 237), (175, 186), (176, 210), (177, 204), (180, 201), (181, 208), (183, 220), (185, 207), (185, 215), (189, 206), (190, 225), (194, 244), (199, 238), (200, 230), (202, 209), (207, 214), (212, 237), (212, 242), (213, 221), (217, 244), (219, 234), (222, 227), (223, 224), (224, 241), (243, 246)]",18.874000072479248
250,2,6183.365337877351,"Any[(1, 120), (1, 227), (2, 28), (2, 121), (3, 161), (3, 238), (4, 65), (4, 105), (5, 88), (5, 131), (6, 14), (6, 155), (7, 191), (7, 217), (8, 76), (8, 175), (9, 33), (9, 144), (10, 15), (10, 77), (11, 229), (11, 239), (12, 18), (12, 74), (13, 27), (13, 167), (14, 59), (15, 233), (16, 192), (16, 209), (17, 27), (17, 30), (18, 187), (19, 82), (19, 215), (20, 196), (20, 220), (21, 109), (21, 126), (22, 153), (22, 222), (23, 38), (23, 235), (24, 137), (24, 213), (25, 86), (25, 114), (26, 181), (26, 240), (28, 224), (29, 151), (29, 219), (30, 159), (31, 184), (31, 196), (32, 115), (32, 227), (33, 56), (34, 87), (34, 105), (35, 106), (35, 229), (36, 55), (36, 99), (37, 148), (37, 177), (38, 68), (39, 100), (39, 170), (40, 63), (40, 139), (41, 163), (41, 211), (42, 94), (42, 198), (43, 186), (43, 206), (44, 169), (44, 181), (45, 171), (45, 221), (46, 110), (46, 194), (47, 84), (47, 234), (48, 51), (48, 75), (49, 98), (49, 152), (50, 150), (50, 177), (51, 54), (52, 140), (52, 222), (53, 205), (53, 245), (54, 211), (55, 142), (56, 236), (57, 190), (57, 204), (58, 111), (58, 202), (59, 232), (60, 183), (60, 216), (61, 132), (61, 184), (62, 95), (62, 101), (63, 118), (64, 167), (64, 225), (65, 248), (66, 109), (66, 228), (67, 80), (67, 189), (68, 174), (69, 157), (69, 223), (70, 77), (70, 183), (71, 137), (71, 197), (72, 87), (72, 134), (73, 151), (73, 193), (74, 138), (75, 84), (76, 248), (78, 85), (78, 93), (79, 111), (79, 135), (80, 204), (81, 226), (81, 249), (82, 161), (83, 180), (83, 186), (85, 99), (86, 145), (88, 125), (89, 176), (89, 247), (90, 108), (90, 162), (91, 95), (91, 117), (92, 169), (92, 197), (93, 202), (94, 136), (96, 97), (96, 200), (97, 187), (98, 235), (100, 246), (101, 203), (102, 113), (102, 195), (103, 157), (103, 182), (104, 149), (104, 237), (106, 124), (107, 146), (107, 246), (108, 128), (110, 221), (112, 159), (112, 175), (113, 249), (114, 206), (115, 250), (116, 150), (116, 185), (117, 179), (118, 163), (119, 149), (119, 166), (120, 210), (121, 188), (122, 156), (122, 174), (123, 130), (123, 155), (124, 214), (125, 143), (126, 201), (127, 160), (127, 220), (128, 172), (129, 146), (129, 237), (130, 180), (131, 205), (132, 168), (133, 138), (133, 217), (134, 147), (135, 216), (136, 188), (139, 153), (140, 166), (141, 231), (141, 238), (142, 198), (143, 199), (144, 233), (145, 207), (147, 208), (148, 154), (152, 170), (154, 242), (156, 242), (158, 209), (158, 241), (160, 218), (162, 241), (164, 168), (164, 215), (165, 173), (165, 189), (171, 223), (172, 212), (173, 178), (176, 243), (178, 210), (179, 218), (182, 195), (185, 244), (190, 193), (191, 245), (192, 201), (194, 231), (199, 208), (200, 244), (203, 239), (207, 243), (212, 232), (213, 214), (219, 234), (224, 226), (225, 240), (228, 230), (230, 250), (236, 247)]",39.75
250,3,6015.127550773792,"Any[(1, 95), (1, 160), (2, 69), (2, 80), (3, 6), (3, 179), (4, 140), (4, 189), (5, 23), (5, 54), (6, 239), (7, 107), (7, 143), (8, 41), (8, 98), (9, 13), (9, 105), (10, 151), (10, 238), (11, 71), (11, 139), (12, 44), (12, 182), (13, 154), (14, 48), (14, 193), (15, 92), (15, 208), (16, 60), (16, 68), (17, 19), (17, 158), (18, 146), (18, 168), (19, 129), (20, 67), (20, 212), (21, 123), (21, 223), (22, 40), (23, 36), (24, 93), (24, 228), (25, 66), (25, 183), (26, 116), (26, 194), (27, 171), (27, 231), (28, 31), (28, 86), (29, 65), (29, 91), (30, 192), (31, 72), (32, 79), (33, 217), (33, 232), (34, 68), (34, 244), (35, 108), (35, 245), (36, 167), (37, 46), (37, 69), (38, 141), (38, 142), (39, 152), (39, 221), (41, 225), (42, 165), (42, 191), (43, 125), (43, 205), (44, 120), (45, 136), (45, 138), (47, 58), (47, 141), (48, 62), (49, 183), (49, 193), (50, 177), (51, 119), (51, 122), (52, 63), (52, 222), (53, 169), (53, 229), (54, 202), (55, 136), (55, 204), (56, 74), (56, 173), (57, 203), (57, 228), (58, 131), (59, 125), (59, 203), (60, 199), (61, 92), (61, 232), (62, 174), (63, 218), (64, 133), (64, 185), (65, 135), (66, 100), (67, 176), (70, 72), (70, 234), (71, 200), (73, 207), (73, 248), (74, 234), (75, 144), (76, 166), (76, 219), (77, 156), (77, 247), (78, 93), (78, 150), (79, 140), (80, 242), (81, 89), (81, 133), (82, 213), (82, 221), (83, 97), (83, 172), (84, 152), (84, 159), (85, 142), (85, 241), (86, 113), (87, 113), (87, 220), (89, 153), (90, 188), (90, 213), (91, 106), (94, 201), (94, 237), (95, 148), (96, 137), (98, 135), (99, 166), (99, 247), (100, 103), (101, 187), (101, 198), (102, 121), (102, 149), (103, 186), (104, 115), (104, 154), (105, 205), (106, 130), (107, 241), (108, 132), (109, 162), (109, 219), (110, 128), (110, 173), (111, 123), (111, 180), (112, 117), (112, 119), (114, 196), (114, 235), (115, 161), (116, 127), (117, 246), (118, 158), (118, 246), (120, 250), (121, 224), (122, 157), (124, 233), (124, 239), (127, 249), (128, 189), (129, 182), (130, 196), (131, 209), (132, 201), (134, 198), (134, 249), (137, 216), (138, 148), (139, 248), (143, 237), (145, 169), (146, 181), (147, 164), (147, 217), (149, 202), (150, 236), (151, 230), (153, 209), (155, 162), (156, 240), (157, 211), (159, 184), (160, 211), (161, 178), (163, 178), (164, 214), (165, 197), (167, 210), (168, 227), (170, 190), (170, 199), (171, 187), (174, 204), (176, 242), (179, 180), (181, 229), (184, 250), (185, 220), (186, 195), (188, 194), (190, 191), (192, 233), (195, 226), (197, 206), (200, 212), (206, 208), (210, 245), (215, 238), (218, 243), (222, 223), (224, 235), (225, 230), (226, 244), (227, 240), (231, 243)]",32.34599995613098
250,4,6034.8720479157,"Any[(1, 27), (2, 58), (3, 229), (4, 55), (5, 144), (6, 193), (6, 199), (8, 222), (9, 202), (10, 121), (11, 98), (12, 16), (12, 49), (13, 34), (14, 124), (14, 174), (15, 245), (16, 106), (17, 64), (19, 219), (20, 236), (21, 191), (22, 161), (23, 127), (24, 86), (25, 91), (26, 57), (27, 110), (28, 79), (30, 32), (31, 127), (32, 61), (33, 196), (33, 203), (35, 146), (35, 178), (39, 217), (40, 116), (41, 212), (42, 146), (43, 167), (44, 123), (44, 205), (47, 148), (48, 153), (51, 181), (51, 233), (52, 56), (53, 210), (54, 185), (55, 213), (56, 120), (58, 160), (59, 132), (62, 69), (63, 175), (65, 238), (66, 207), (67, 179), (68, 129), (69, 233), (70, 77), (71, 133), (72, 165), (72, 189), (73, 78), (73, 211), (75, 89), (80, 168), (84, 89), (85, 151), (88, 164), (90, 138), (93, 198), (93, 211), (94, 228), (96, 190), (97, 124), (97, 231), (99, 241), (100, 205), (101, 249), (102, 218), (105, 178), (109, 145), (110, 242), (111, 141), (112, 194), (112, 239), (113, 135), (115, 230), (117, 248), (120, 229), (125, 234), (128, 239), (131, 223), (134, 244), (136, 232), (139, 169), (140, 149), (142, 165), (148, 180), (152, 172), (155, 179), (157, 237), (158, 173), (169, 188), (170, 206), (183, 240), (184, 209), (188, 235), (190, 227), (191, 225), (193, 227), (196, 224), (197, 247), (198, 218), (204, 216), (208, 230), (208, 242), (214, 246)]",98.52699995040894
250,5,5850.641120151351,"Any[(1, 61), (1, 244), (2, 36), (2, 48), (3, 128), (3, 185), (4, 95), (4, 116), (5, 36), (5, 123), (6, 104), (6, 150), (7, 152), (7, 154), (8, 202), (8, 244), (9, 13), (9, 198), (10, 88), (10, 175), (11, 133), (11, 171), (12, 75), (12, 151), (13, 19), (14, 212), (14, 240), (15, 200), (15, 235), (16, 95), (16, 100), (17, 62), (17, 80), (18, 21), (18, 64), (19, 184), (20, 22), (20, 55), (21, 125), (22, 65), (23, 33), (23, 150), (24, 70), (24, 96), (25, 78), (25, 143), (26, 136), (26, 234), (27, 86), (27, 239), (28, 85), (28, 240), (29, 188), (29, 234), (30, 110), (30, 182), (31, 115), (31, 145), (32, 173), (32, 193), (33, 212), (34, 113), (34, 191), (35, 56), (35, 83), (37, 108), (37, 164), (38, 105), (38, 160), (39, 54), (39, 209), (40, 211), (40, 228), (41, 58), (41, 199), (42, 52), (42, 135), (43, 51), (43, 215), (44, 69), (44, 206), (45, 135), (45, 155), (46, 211), (46, 248), (47, 70), (47, 186), (48, 77), (49, 156), (49, 218), (50, 179), (50, 196), (51, 157), (52, 220), (53, 118), (53, 207), (54, 112), (55, 104), (56, 202), (57, 74), (57, 245), (58, 101), (59, 164), (59, 176), (60, 194), (60, 222), (61, 82), (62, 153), (63, 134), (63, 223), (64, 89), (65, 226), (66, 77), (66, 160), (67, 148), (67, 208), (68, 137), (68, 188), (69, 222), (71, 76), (71, 190), (72, 109), (72, 136), (73, 92), (73, 178), (74, 174), (75, 118), (76, 87), (78, 228), (79, 149), (79, 225), (80, 177), (81, 213), (81, 242), (82, 131), (83, 98), (84, 117), (84, 230), (85, 134), (86, 249), (87, 140), (88, 205), (89, 126), (90, 167), (90, 219), (91, 103), (91, 107), (92, 101), (93, 175), (93, 216), (94, 125), (94, 229), (96, 200), (97, 120), (97, 182), (98, 239), (99, 108), (99, 141), (100, 242), (102, 148), (102, 199), (103, 151), (105, 121), (106, 138), (106, 238), (107, 158), (109, 186), (110, 124), (111, 129), (111, 189), (112, 126), (113, 220), (114, 215), (114, 227), (115, 232), (116, 161), (117, 166), (119, 246), (119, 247), (120, 167), (121, 189), (122, 195), (122, 236), (123, 173), (124, 162), (127, 180), (127, 243), (128, 170), (129, 196), (130, 145), (130, 197), (131, 192), (132, 133), (132, 153), (137, 161), (138, 192), (139, 208), (139, 230), (140, 170), (141, 205), (142, 195), (142, 221), (143, 181), (144, 162), (144, 163), (146, 214), (146, 219), (147, 168), (147, 235), (149, 248), (152, 169), (154, 166), (155, 238), (156, 183), (157, 187), (158, 214), (159, 180), (159, 227), (163, 187), (165, 172), (165, 221), (168, 203), (169, 198), (171, 233), (172, 231), (174, 194), (176, 245), (177, 231), (178, 217), (179, 226), (181, 201), (183, 243), (184, 218), (185, 197), (190, 241), (191, 237), (193, 203), (201, 213), (204, 207), (204, 232), (206, 210), (209, 237), (210, 233), (216, 241), (217, 225), (223, 229), (224, 249), (224, 250), (236, 246), (247, 250)]",11.555000066757202
250,6,5972.623016495115,"Any[(1, 226), (2, 192), (2, 225), (3, 154), (5, 146), (5, 218), (6, 132), (6, 209), (7, 22), (8, 10), (9, 101), (9, 167), (10, 123), (11, 66), (12, 152), (12, 235), (13, 89), (13, 99), (14, 16), (15, 210), (17, 40), (18, 52), (18, 80), (19, 221), (20, 67), (21, 106), (21, 211), (22, 227), (23, 91), (23, 100), (25, 72), (25, 74), (26, 225), (27, 123), (27, 173), (28, 68), (28, 244), (29, 154), (29, 208), (30, 64), (30, 207), (31, 200), (32, 33), (32, 202), (33, 80), (35, 58), (35, 218), (36, 113), (36, 196), (37, 155), (37, 166), (38, 116), (39, 88), (41, 59), (41, 182), (42, 147), (42, 244), (43, 240), (44, 160), (45, 147), (46, 222), (47, 130), (48, 111), (49, 232), (50, 90), (50, 142), (51, 84), (51, 153), (52, 118), (53, 144), (53, 235), (54, 94), (55, 157), (56, 171), (56, 248), (57, 70), (57, 214), (58, 153), (59, 158), (60, 61), (60, 100), (61, 184), (62, 92), (63, 190), (64, 199), (65, 151), (65, 191), (67, 163), (69, 166), (71, 129), (71, 179), (72, 133), (73, 101), (73, 215), (74, 122), (75, 208), (76, 142), (76, 187), (77, 86), (77, 163), (78, 105), (79, 186), (81, 96), (81, 189), (82, 112), (82, 180), (83, 84), (83, 89), (85, 198), (85, 236), (86, 98), (87, 238), (88, 195), (91, 119), (93, 115), (93, 188), (94, 189), (95, 139), (95, 199), (96, 126), (97, 155), (97, 178), (98, 114), (99, 117), (102, 185), (104, 134), (106, 109), (107, 116), (107, 130), (108, 193), (108, 236), (109, 220), (110, 148), (110, 187), (112, 143), (114, 181), (118, 172), (119, 220), (120, 158), (120, 228), (121, 128), (121, 170), (122, 243), (124, 179), (125, 127), (126, 133), (128, 150), (129, 137), (131, 206), (135, 241), (136, 213), (138, 176), (138, 247), (139, 211), (140, 201), (141, 203), (144, 246), (149, 212), (150, 176), (156, 183), (156, 248), (157, 230), (161, 231), (162, 210), (165, 229), (169, 182), (169, 204), (170, 192), (172, 238), (173, 228), (174, 178), (180, 215), (181, 184), (185, 229), (191, 242), (200, 234), (202, 245), (204, 227), (205, 234), (205, 242), (209, 231), (217, 239), (224, 250), (247, 249)]",99.41499996185303
250,7,6162.319628456042,"Any[(1, 6), (1, 197), (2, 65), (2, 106), (3, 119), (3, 236), (4, 68), (4, 117), (5, 89), (5, 228), (6, 142), (7, 30), (7, 158), (8, 47), (8, 250), (9, 54), (9, 250), (10, 24), (10, 225), (11, 124), (11, 209), (12, 92), (12, 141), (13, 227), (13, 238), (14, 39), (14, 192), (15, 71), (15, 159), (16, 112), (16, 249), (17, 32), (17, 160), (18, 23), (18, 160), (19, 81), (19, 190), (20, 51), (20, 132), (21, 179), (21, 219), (22, 125), (22, 173), (23, 85), (24, 39), (25, 129), (25, 244), (26, 105), (26, 194), (27, 32), (27, 170), (28, 48), (28, 175), (29, 145), (29, 224), (30, 187), (31, 150), (31, 213), (33, 67), (33, 100), (34, 189), (34, 232), (35, 143), (35, 246), (36, 55), (36, 69), (37, 82), (37, 86), (38, 151), (38, 168), (40, 136), (40, 155), (41, 68), (41, 97), (42, 74), (42, 89), (43, 165), (43, 167), (44, 177), (44, 233), (45, 100), (45, 149), (46, 55), (46, 153), (47, 94), (48, 242), (49, 104), (49, 157), (50, 84), (50, 87), (51, 58), (52, 88), (52, 149), (53, 192), (53, 230), (54, 218), (56, 76), (56, 127), (57, 79), (57, 221), (58, 194), (59, 156), (59, 238), (60, 139), (60, 164), (61, 222), (61, 243), (62, 148), (62, 158), (63, 133), (63, 178), (64, 171), (64, 227), (65, 155), (66, 123), (66, 145), (67, 87), (69, 99), (70, 130), (70, 212), (71, 133), (72, 173), (72, 235), (73, 148), (73, 181), (74, 152), (75, 177), (75, 216), (76, 199), (77, 185), (77, 217), (78, 147), (78, 183), (79, 132), (80, 98), (80, 242), (81, 237), (82, 245), (83, 187), (83, 249), (84, 128), (85, 185), (86, 231), (88, 115), (90, 201), (90, 246), (91, 103), (91, 229), (92, 193), (93, 153), (93, 201), (94, 168), (95, 130), (95, 202), (96, 210), (96, 239), (97, 188), (98, 126), (99, 176), (101, 122), (101, 147), (102, 104), (102, 137), (103, 206), (105, 120), (106, 112), (107, 151), (107, 243), (108, 117), (108, 244), (109, 111), (109, 202), (110, 174), (110, 184), (111, 181), (113, 150), (113, 241), (114, 138), (114, 204), (115, 120), (116, 171), (116, 226), (118, 162), (118, 213), (119, 222), (121, 183), (121, 205), (122, 161), (123, 223), (124, 186), (125, 200), (126, 172), (127, 223), (128, 199), (129, 184), (131, 182), (131, 221), (134, 163), (134, 220), (135, 154), (135, 245), (136, 165), (137, 166), (138, 144), (139, 175), (140, 189), (140, 220), (141, 207), (142, 218), (143, 203), (144, 229), (146, 162), (146, 211), (152, 225), (154, 239), (156, 236), (157, 164), (159, 176), (161, 215), (163, 200), (166, 209), (167, 169), (169, 198), (170, 219), (172, 211), (174, 195), (178, 198), (179, 234), (180, 193), (180, 233), (182, 196), (186, 216), (188, 241), (190, 224), (191, 215), (191, 228), (195, 204), (196, 197), (203, 210), (205, 248), (206, 214), (207, 235), (208, 217), (208, 232), (212, 230), (214, 248), (226, 234), (231, 247), (237, 240), (240, 247)]",106.63899993896484
250,8,5930.076769645808,"Any[(1, 5), (1, 104), (2, 39), (2, 64), (3, 113), (3, 160), (4, 7), (4, 138), (5, 9), (6, 104), (6, 122), (7, 165), (8, 41), (8, 136), (9, 72), (10, 88), (10, 186), (11, 119), (11, 183), (12, 86), (12, 132), (13, 35), (13, 58), (14, 155), (14, 190), (15, 82), (15, 102), (16, 147), (16, 193), (17, 218), (17, 239), (18, 174), (18, 219), (19, 24), (19, 241), (20, 217), (20, 227), (21, 57), (21, 82), (22, 125), (22, 181), (23, 194), (23, 226), (24, 142), (25, 26), (25, 81), (26, 167), (27, 32), (27, 89), (28, 161), (28, 225), (29, 81), (29, 112), (30, 94), (30, 103), (31, 50), (31, 151), (32, 169), (33, 188), (33, 197), (34, 180), (34, 216), (35, 229), (36, 88), (36, 155), (37, 156), (37, 199), (38, 113), (38, 205), (39, 171), (40, 145), (40, 232), (41, 74), (42, 208), (42, 211), (43, 173), (43, 183), (44, 148), (44, 173), (45, 56), (45, 67), (46, 129), (46, 206), (47, 62), (47, 201), (48, 84), (48, 159), (49, 53), (49, 249), (50, 211), (51, 128), (51, 207), (52, 185), (52, 198), (53, 120), (54, 73), (54, 124), (55, 129), (55, 135), (56, 59), (57, 131), (58, 178), (59, 106), (60, 234), (60, 242), (61, 171), (61, 218), (62, 156), (63, 153), (63, 228), (64, 204), (65, 77), (65, 244), (66, 83), (66, 93), (67, 164), (68, 138), (68, 172), (69, 239), (69, 247), (70, 133), (70, 203), (71, 95), (71, 109), (72, 79), (73, 235), (74, 140), (75, 136), (75, 246), (76, 177), (76, 202), (77, 212), (78, 92), (78, 169), (79, 95), (80, 99), (80, 179), (83, 94), (84, 148), (85, 199), (85, 243), (86, 107), (87, 101), (87, 240), (89, 245), (90, 127), (90, 210), (91, 193), (91, 246), (92, 154), (93, 225), (96, 186), (96, 250), (97, 139), (97, 202), (98, 127), (98, 200), (99, 154), (100, 115), (100, 226), (101, 150), (102, 223), (103, 114), (105, 106), (105, 116), (107, 139), (108, 118), (108, 157), (109, 180), (110, 167), (110, 245), (111, 179), (111, 181), (112, 172), (114, 217), (115, 196), (116, 221), (117, 220), (117, 224), (118, 177), (119, 238), (120, 137), (121, 189), (121, 219), (122, 203), (123, 149), (123, 160), (124, 170), (125, 162), (126, 137), (126, 209), (128, 249), (130, 189), (130, 215), (131, 143), (132, 213), (133, 222), (134, 152), (134, 182), (135, 231), (140, 178), (141, 196), (141, 215), (142, 158), (143, 227), (144, 198), (144, 224), (145, 151), (146, 210), (146, 243), (147, 205), (149, 209), (150, 207), (152, 233), (153, 168), (157, 250), (158, 214), (159, 244), (161, 214), (162, 185), (163, 184), (163, 235), (164, 213), (165, 216), (166, 191), (166, 232), (168, 233), (170, 223), (174, 240), (175, 176), (175, 188), (176, 212), (182, 242), (184, 238), (187, 190), (187, 195), (191, 236), (192, 201), (192, 230), (194, 248), (195, 204), (197, 208), (200, 247), (206, 220), (221, 228), (222, 241), (229, 237), (230, 231), (234, 237), (236, 248)]",29.04699993133545
250,9,6000.4879529809195,"Any[(1, 172), (1, 189), (2, 107), (2, 240), (3, 41), (3, 136), (4, 6), (4, 244), (5, 14), (5, 176), (6, 107), (7, 200), (7, 212), (8, 56), (8, 165), (9, 28), (9, 47), (10, 183), (10, 211), (11, 32), (11, 97), (12, 120), (12, 126), (13, 101), (13, 204), (14, 109), (15, 38), (15, 80), (16, 65), (16, 209), (17, 22), (17, 174), (18, 30), (18, 231), (19, 39), (19, 46), (20, 104), (20, 111), (21, 154), (21, 180), (22, 196), (23, 140), (23, 232), (24, 101), (24, 157), (25, 65), (25, 156), (26, 76), (26, 149), (27, 46), (27, 64), (28, 83), (29, 122), (29, 208), (30, 42), (31, 37), (31, 63), (32, 80), (33, 106), (33, 162), (34, 104), (34, 207), (35, 89), (35, 121), (36, 64), (36, 244), (37, 239), (38, 96), (39, 164), (40, 96), (40, 119), (41, 54), (42, 50), (43, 118), (43, 188), (44, 58), (44, 124), (45, 47), (45, 238), (48, 158), (48, 223), (49, 98), (49, 213), (50, 206), (51, 137), (51, 177), (52, 221), (52, 250), (53, 112), (53, 169), (54, 150), (55, 155), (55, 205), (56, 160), (57, 163), (57, 176), (58, 59), (59, 247), (60, 72), (60, 86), (61, 169), (61, 217), (62, 63), (62, 142), (66, 135), (66, 177), (67, 97), (67, 202), (68, 76), (68, 222), (69, 154), (69, 242), (70, 114), (70, 208), (71, 92), (71, 243), (72, 182), (73, 232), (73, 250), (74, 84), (74, 167), (75, 143), (75, 170), (77, 200), (77, 240), (78, 123), (78, 166), (79, 122), (79, 142), (81, 196), (81, 215), (82, 116), (82, 182), (83, 138), (84, 159), (85, 95), (85, 219), (86, 235), (87, 180), (87, 225), (88, 165), (88, 234), (89, 248), (90, 95), (90, 152), (91, 134), (91, 149), (92, 103), (93, 108), (93, 199), (94, 161), (94, 175), (98, 191), (99, 150), (99, 198), (100, 237), (100, 239), (102, 135), (102, 231), (103, 133), (105, 129), (105, 181), (106, 201), (108, 198), (109, 210), (110, 193), (110, 207), (111, 131), (112, 183), (113, 115), (113, 186), (114, 191), (115, 144), (116, 199), (117, 147), (117, 216), (118, 186), (119, 164), (120, 128), (121, 213), (123, 216), (125, 144), (125, 171), (126, 215), (127, 192), (127, 227), (128, 170), (129, 158), (130, 136), (130, 187), (131, 241), (132, 139), (132, 202), (133, 219), (134, 179), (137, 218), (138, 241), (139, 195), (140, 145), (141, 168), (141, 218), (143, 195), (145, 228), (146, 225), (146, 236), (147, 151), (148, 167), (148, 245), (151, 152), (153, 181), (153, 245), (155, 224), (156, 230), (157, 246), (159, 162), (160, 233), (161, 229), (163, 185), (166, 222), (168, 192), (171, 205), (172, 217), (173, 249), (174, 234), (175, 235), (178, 179), (178, 188), (184, 190), (184, 242), (185, 201), (187, 226), (189, 212), (193, 229), (197, 206), (197, 243), (203, 204), (203, 211), (209, 227), (214, 220), (221, 224), (223, 237), (226, 246), (228, 236), (230, 238), (233, 248)]",20.07100009918213
250,10,5948.822476840261,"Any[(1, 111), (1, 166), (2, 43), (2, 143), (3, 21), (3, 103), (4, 10), (4, 23), (5, 86), (5, 241), (6, 87), (6, 118), (7, 179), (7, 193), (8, 102), (8, 111), (9, 13), (10, 28), (11, 103), (11, 208), (12, 151), (12, 247), (14, 114), (14, 177), (15, 170), (15, 224), (16, 98), (16, 217), (17, 161), (17, 239), (18, 54), (18, 71), (19, 100), (19, 137), (20, 195), (21, 198), (22, 58), (22, 131), (23, 34), (24, 95), (24, 150), (25, 52), (25, 201), (26, 165), (26, 231), (27, 114), (27, 124), (28, 181), (29, 207), (29, 244), (30, 50), (30, 117), (31, 72), (31, 187), (32, 35), (32, 62), (33, 67), (33, 146), (34, 232), (35, 159), (36, 42), (36, 161), (37, 192), (37, 213), (38, 170), (38, 219), (39, 47), (39, 102), (40, 160), (40, 172), (41, 188), (41, 218), (42, 99), (43, 241), (44, 53), (44, 205), (45, 167), (45, 201), (46, 235), (46, 240), (47, 235), (48, 160), (48, 223), (49, 131), (49, 141), (50, 61), (51, 99), (51, 250), (52, 221), (53, 167), (54, 200), (55, 145), (55, 223), (56, 71), (56, 215), (57, 183), (57, 227), (58, 148), (59, 120), (59, 185), (60, 83), (60, 210), (61, 116), (62, 97), (63, 88), (63, 217), (64, 112), (64, 211), (65, 144), (65, 188), (66, 96), (66, 121), (67, 186), (68, 158), (68, 216), (69, 155), (70, 130), (70, 147), (72, 230), (73, 203), (73, 234), (74, 180), (74, 245), (75, 90), (75, 121), (76, 158), (76, 175), (77, 140), (77, 169), (78, 84), (78, 215), (79, 110), (79, 154), (80, 177), (80, 221), (81, 197), (81, 238), (82, 127), (82, 173), (83, 115), (84, 120), (85, 193), (85, 229), (86, 187), (87, 92), (88, 152), (89, 159), (89, 204), (90, 163), (91, 173), (91, 219), (92, 175), (93, 139), (93, 190), (94, 104), (94, 233), (95, 186), (96, 205), (97, 106), (98, 239), (100, 184), (101, 107), (101, 250), (104, 178), (105, 164), (105, 202), (106, 150), (107, 189), (108, 171), (108, 222), (109, 191), (109, 225), (110, 174), (112, 162), (113, 148), (113, 209), (115, 151), (116, 133), (117, 214), (118, 204), (119, 124), (119, 232), (123, 164), (123, 213), (125, 168), (125, 226), (126, 208), (126, 245), (127, 163), (128, 149), (128, 192), (130, 143), (132, 139), (132, 214), (133, 185), (134, 162), (134, 249), (135, 137), (135, 230), (136, 180), (136, 191), (138, 174), (138, 240), (140, 154), (141, 194), (142, 155), (144, 178), (145, 169), (146, 203), (147, 243), (149, 248), (152, 220), (153, 199), (156, 242), (157, 171), (157, 182), (165, 172), (166, 236), (168, 206), (176, 195), (179, 244), (181, 248), (182, 229), (183, 200), (184, 216), (189, 197), (190, 224), (194, 196), (196, 225), (198, 212), (202, 222), (206, 218), (207, 220), (209, 238), (210, 212), (211, 246), (226, 231), (227, 228), (228, 233), (234, 242), (236, 246), (243, 249)]",20.973000049591064
