num,v,value,solution_path
10,1,64.86698393317585,"Any[(1, 5), (1, 10), (2, 7), (2, 9), (3, 5), (3, 9), (4, 8), (4, 10), (6, 7), (6, 8)]"
10,2,61.632979223512635,"Any[(1, 9), (1, 10), (2, 5), (2, 8), (3, 7), (3, 10), (4, 6), (4, 7), (5, 8), (6, 9)]"
10,3,46.99527517210774,"Any[(1, 3), (1, 4), (2, 5), (2, 10), (3, 4), (5, 10), (6, 8), (6, 9), (7, 8), (7, 9)]"
10,4,51.57718391446303,"Any[(1, 3), (1, 9), (2, 6), (2, 10), (3, 4), (4, 10), (5, 8), (5, 9), (6, 7), (7, 8)]"
10,5,49.877650646770206,"Any[(1, 7), (1, 9), (2, 4), (2, 8), (3, 5), (3, 10), (4, 6), (5, 10), (6, 7), (8, 9)]"
10,6,58.221972957805015,"Any[(1, 3), (1, 5), (2, 5), (2, 6), (3, 4), (4, 8), (6, 10), (7, 8), (7, 9), (9, 10)]"
10,7,47.359364176198696,"Any[(1, 6), (1, 9), (2, 7), (2, 10), (3, 5), (3, 8), (4, 6), (4, 9), (5, 8), (7, 10)]"
10,8,51.31653019355538,"Any[(1, 7), (1, 10), (2, 7), (2, 10), (3, 4), (3, 9), (4, 9), (5, 6), (5, 8), (6, 8)]"
10,9,60.04495900889225,"Any[(1, 7), (1, 9), (2, 3), (2, 10), (3, 10), (4, 6), (4, 8), (5, 7), (5, 9), (6, 8)]"
10,10,72.29227087420676,"Any[(1, 4), (1, 8), (2, 7), (2, 10), (3, 5), (3, 9), (4, 5), (6, 8), (6, 10), (7, 9)]"
15,1,92.71388296516508,"Any[(1, 3), (1, 5), (2, 6), (2, 8), (3, 10), (4, 7), (4, 11), (5, 7), (6, 8), (9, 12), (9, 13), (10, 14), (11, 15), (12, 13), (14, 15)]"
15,2,88.10379178431646,"Any[(1, 2), (1, 10), (2, 3), (3, 7), (4, 5), (4, 15), (5, 11), (6, 8), (6, 14), (7, 15), (8, 14), (9, 12), (9, 13), (10, 11), (12, 13)]"
15,3,111.43982742520944,"Any[(1, 8), (1, 15), (2, 3), (2, 15), (3, 4), (4, 6), (5, 7), (5, 9), (6, 10), (7, 9), (8, 11), (10, 11), (12, 13), (12, 14), (13, 14)]"
15,4,74.55486748084176,"Any[(1, 9), (1, 15), (2, 7), (2, 15), (3, 13), (3, 14), (4, 6), (4, 12), (5, 10), (5, 11), (6, 7), (8, 12), (8, 13), (9, 14), (10, 11)]"
